填料类型,填料类别,填料负载量(mg/cm²),比表面积(m²/g),粒径(nm),孔体积(cm³/g),基底材料,隔膜厚度(μm),孔隙率,电解液体系,温度(°C),倍率(C),循环次数,离子电导率(mS/cm),初始比容量(mAh/g),容量保持率(%),库伦效率(%),穿梭因子
TpPa-COF,MOF/COF,1.206,585.5,6.2,0.374,PVDF-HFP,26.2,0.672,DOL/DME + 1M LiTFSI,45,0.1,500,2.397,1528.4,99.0,93.12,0.039
MXene(Ti₃C₂),其他,0.808,79.4,9.2,0.225,Whatman GF/D,670.5,0.753,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.2,500,1.383,1029.4,99.0,97.9,0.0542
Al₂O₃,金属氧化物,2.45,120.5,17.9,0.292,PVDF,33.1,0.477,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,100,0.969,662.2,99.0,99.78,0.02
TiN,氮化物,2.743,67.4,18.3,0.22,Celgard 2500(PE),22.5,0.494,DOL/DME + 2M LiTFSI,60,1.0,500,1.303,609.5,99.0,94.86,0.02
MnO₂,金属氧化物,2.526,86.1,35.8,0.327,PI(聚酰亚胺),22.9,0.629,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,30,0.5,300,1.097,685.1,99.0,99.9,0.02
Co₃O₄,金属氧化物,0.984,60.2,26.3,0.267,Celgard 3501(PP/PE/PP),35.1,0.427,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,0.5,800,1.153,1025.5,86.1,96.76,0.02
ZIF-67,MOF/COF,2.977,1630.6,3.7,0.681,PI(聚酰亚胺),7.6,0.539,DOL/DME + 1M LiTFSI,25,0.1,500,1.955,737.5,99.0,96.03,0.02
MoS₂,金属硫化物,0.285,50.5,27.5,0.195,Whatman GF/D,673.2,0.765,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,0.1,500,0.981,1120.0,85.2,96.85,0.2033
MoS₂,金属硫化物,0.478,45.8,31.5,0.207,纤维素膜,38.4,0.72,DOL/DME + 1M LiTFSI,30,1.0,200,1.411,1056.5,99.0,92.82,0.285
CNT,碳基,0.504,262.7,36.3,0.853,尼龙膜,30.1,0.59,DOL/DME + 2M LiTFSI,50,0.5,1000,1.329,1388.9,77.4,93.03,0.2321
rGO,碳基,0.858,318.3,5.6,0.678,PAN,18.6,0.744,TEGDME + 1M LiTFSI,30,2.0,100,0.88,1138.6,99.0,93.8,0.2322
MnO₂,金属氧化物,2.096,109.9,25.3,0.276,PVDF,24.6,0.592,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,3.0,200,1.674,783.3,99.0,99.9,0.02
CeO₂,金属氧化物,2.487,66.0,12.4,0.184,Celgard 3501(PP/PE/PP),40.6,0.386,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,0.5,100,1.609,778.5,99.0,99.67,0.02
SiO₂,其他,2.669,206.6,13.7,0.499,尼龙膜,29.2,0.712,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,2.0,100,1.525,597.5,99.0,98.27,0.02
碳纳米纤维(CNF),碳基,1.678,155.6,137.6,0.379,纤维素膜,33.8,0.787,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,5.0,100,0.648,944.4,99.0,98.17,0.02
WO₃,金属氧化物,1.141,27.3,31.1,0.123,Whatman GF/D,667.7,0.866,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.1,500,0.407,1225.6,92.9,93.92,0.2105
BN,氮化物,0.614,39.3,35.6,0.092,PVDF,29.4,0.622,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,2.0,1000,0.417,966.7,75.6,92.52,0.2863
UiO-66,MOF/COF,1.474,1307.4,2.5,0.626,尼龙膜,22.4,0.686,DOL/DME + 1M LiTFSI,45,0.5,200,3.048,1406.2,99.0,94.5,0.02
ZIF-67,MOF/COF,2.914,1755.6,3.2,0.684,Celgard 2500(PE),21.8,0.552,TEGDME + 1M LiTFSI + 0.1M LiNO₃,60,3.0,1000,1.686,689.6,99.0,99.9,0.02
氧化石墨烯(GO),碳基,2.355,333.0,4.3,0.59,GF/A(玻璃纤维),263.0,0.8,DOL/DME + 0.5M LiTFSI,25,0.5,300,2.141,965.0,99.0,95.66,0.02
MnO₂,金属氧化物,0.204,77.5,41.0,0.269,PI(聚酰亚胺),17.5,0.547,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,1.0,800,0.966,918.3,80.7,96.32,0.1846
Mo₂N,氮化物,0.108,50.5,23.7,0.153,尼龙膜,22.8,0.682,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,50,5.0,300,0.55,860.8,88.3,91.65,0.4095
PANI(聚苯胺),聚合物,2.631,31.5,102.0,0.126,纤维素膜,31.7,0.655,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,100,1.023,474.9,99.0,99.89,0.02
CNT,碳基,1.604,242.6,32.7,0.569,PET,16.1,0.559,TEGDME + 1M LiTFSI,25,0.5,200,0.664,1245.4,99.0,94.43,0.075
UiO-66,MOF/COF,0.653,1165.8,2.5,0.549,Whatman GF/D,662.6,0.897,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,500,1.665,1134.9,99.0,98.01,0.09
rGO,碳基,2.239,258.9,6.4,0.739,纤维素膜,34.6,0.662,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.2,1000,1.147,1057.8,97.0,98.39,0.02
UiO-66,MOF/COF,1.587,1230.6,3.2,0.555,PET,18.7,0.596,TEGDME + 1M LiTFSI,40,0.5,50,1.059,1280.5,99.0,94.56,0.02
Co₃O₄,金属氧化物,1.938,68.4,31.7,0.202,尼龙膜,19.7,0.71,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,0.2,200,1.508,969.7,99.0,99.9,0.02
MIL-101(Cr),MOF/COF,1.225,3003.9,3.6,1.622,尼龙膜,16.9,0.561,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,3.0,200,3.43,1600.0,99.0,98.94,0.02
PPy(聚吡咯),聚合物,1.495,43.4,77.0,0.156,PVDF,28.5,0.709,砜类(DIPAS) + 1M LiTFSI,55,1.0,800,0.748,940.6,97.0,94.21,0.1179
TpPa-COF,MOF/COF,0.235,655.2,5.7,0.449,PI(聚酰亚胺),31.5,0.458,TEGDME + 1M LiTFSI + 0.1M LiNO₃,50,0.2,500,0.897,1304.7,84.7,96.67,0.095
TpPa-COF,MOF/COF,2.928,602.3,4.0,0.412,Whatman GF/D,666.0,0.896,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,0.5,500,0.939,653.5,99.0,99.9,0.02
Mo₂N,氮化物,2.506,46.5,34.3,0.109,尼龙膜,26.6,0.603,DOL/DME + 2M LiTFSI,55,0.2,200,1.402,884.7,99.0,95.06,0.02
UiO-66,MOF/COF,2.109,956.6,2.9,0.503,PET,12.7,0.545,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,35,2.0,800,1.906,1019.5,99.0,99.9,0.02
氮掺杂碳,碳基,2.1,509.3,14.7,0.951,PET,13.3,0.523,DOL/DME + 1M LiTFSI,50,1.0,500,2.089,1174.5,99.0,96.29,0.02
多孔碳球,碳基,0.699,723.2,13.1,1.118,PAN,21.5,0.675,DOL/DME + 2M LiTFSI,25,3.0,200,1.103,1213.6,98.3,92.57,0.1958
ZnO,金属氧化物,0.32,27.9,50.8,0.129,PVDF,27.6,0.595,TEGDME + 1M LiTFSI,25,0.5,100,0.628,950.1,97.8,92.07,0.2912
ZnO,金属氧化物,2.012,39.6,56.8,0.114,PAN,17.8,0.694,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,45,3.0,500,0.571,775.0,99.0,96.45,0.0257
CeO₂,金属氧化物,2.001,64.8,14.5,0.209,PI(聚酰亚胺),29.5,0.629,TEGDME + 1M LiTFSI,55,1.0,200,0.972,855.9,99.0,94.24,0.02
介孔碳(CMK-3),碳基,1.439,966.7,14.4,1.559,PVDF,33.0,0.547,TEGDME + 1M LiTFSI,40,0.5,500,1.395,1470.2,99.0,93.52,0.0843
Al₂O₃,金属氧化物,1.801,129.2,22.0,0.393,Whatman GF/D,671.7,0.95,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,0.5,200,0.712,1017.3,99.0,94.0,0.1224
介孔碳(CMK-3),碳基,2.998,883.9,9.1,1.091,Celgard 2500(PE),29.9,0.524,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,2.0,200,1.221,643.9,99.0,99.9,0.02
ZIF-8,MOF/COF,2.55,1499.7,5.0,0.673,PVDF-HFP,30.0,0.736,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.1,300,3.443,1141.6,99.0,99.9,0.02
V₂O₅,金属氧化物,1.49,37.7,27.8,0.132,PAN,13.0,0.744,砜类(DIPAS) + 1M LiTFSI,50,0.5,1000,0.885,1059.5,88.1,93.28,0.1102
TpPa-COF,MOF/COF,2.076,490.7,6.8,0.395,PI(聚酰亚胺),17.7,0.595,DOL/DME + 0.5M LiTFSI,25,0.2,1000,1.735,1097.5,99.0,94.86,0.02
ZnO,金属氧化物,1.632,25.7,32.4,0.125,PVDF,27.6,0.569,砜类(DIPAS) + 1M LiTFSI,25,3.0,100,0.495,824.6,99.0,93.94,0.0844
rGO,碳基,2.923,337.2,6.0,1.126,Celgard 2500(PE),29.0,0.679,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.2,200,1.148,761.4,99.0,99.9,0.02
多孔碳球,碳基,1.595,682.7,10.7,1.306,PI(聚酰亚胺),12.6,0.581,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,5.0,300,1.961,1213.9,99.0,99.01,0.02
VS₂,金属硫化物,2.673,50.6,34.8,0.177,PVDF-HFP,29.8,0.551,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,35,0.2,50,1.168,728.6,99.0,99.9,0.02
ZnO,金属氧化物,2.429,36.9,50.1,0.117,GF/A(玻璃纤维),251.0,0.749,DOL/DME + 0.5M LiTFSI,35,0.2,500,1.886,730.3,99.0,96.48,0.0571
V₂O₅,金属氧化物,1.849,36.3,29.7,0.141,纤维素膜,37.7,0.626,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,45,0.5,800,1.471,993.2,96.2,99.9,0.02
BN,氮化物,0.159,38.3,53.2,0.088,PI(聚酰亚胺),18.4,0.596,TEGDME + 1M LiTFSI + 0.1M LiNO₃,60,0.5,200,1.016,1089.1,91.8,94.81,0.3053
Co₃O₄,金属氧化物,0.385,72.3,27.5,0.297,Celgard 3501(PP/PE/PP),35.8,0.381,TEGDME + 1M LiTFSI,50,0.2,200,0.831,1060.9,98.2,93.33,0.2587
碳纳米纤维(CNF),碳基,2.976,195.8,131.5,0.669,Whatman GF/D,667.7,0.829,DOL/DME + 2M LiTFSI,25,0.1,200,0.846,617.2,99.0,93.13,0.1316
石墨烯,碳基,0.425,465.4,5.9,0.72,PAN,14.0,0.659,TEGDME + 1M LiTFSI + 0.1M LiNO₃,50,5.0,300,0.94,1182.6,95.7,96.98,0.128
La₂O₃,金属氧化物,1.089,26.9,35.3,0.097,PVDF-HFP,26.8,0.662,DOL/DME + 1M LiTFSI,35,3.0,200,1.595,917.0,99.0,94.23,0.1874
ZnO,金属氧化物,1.39,37.9,45.1,0.13,Whatman GF/D,672.5,0.889,砜类(DIPAS) + 1M LiTFSI,50,0.2,500,0.979,1207.1,99.0,93.58,0.1639
g-C₃N₄,氮化物,2.749,89.3,16.5,0.284,尼龙膜,29.2,0.615,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,30,1.0,200,0.354,538.0,99.0,95.63,0.02
CoS₂,金属硫化物,1.757,49.3,28.6,0.166,纤维素膜,38.9,0.76,DOL/DME + 0.5M LiTFSI,50,2.0,300,2.871,994.9,99.0,97.25,0.02
HKUST-1,MOF/COF,0.376,1714.4,6.2,0.723,Celgard 2400(PP),35.9,0.466,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,30,1.0,100,1.382,1296.5,99.0,97.57,0.02
MWCNT,碳基,1.131,203.8,38.6,0.591,PET,22.0,0.529,DOL/DME + 0.5M LiTFSI,60,0.5,50,2.662,1409.8,99.0,92.62,0.1765
TiO₂,金属氧化物,1.952,58.0,30.3,0.168,PVDF,33.4,0.461,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,60,0.5,800,1.946,1015.6,99.0,98.23,0.02
ZnO,金属氧化物,2.051,28.1,65.6,0.107,PI(聚酰亚胺),17.4,0.601,DOL/DME + 1M LiTFSI,45,1.0,800,1.891,919.5,99.0,95.14,0.02
TiS₂,金属硫化物,1.562,44.5,28.1,0.131,Celgard 3501(PP/PE/PP),44.4,0.411,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,35,0.5,50,1.291,1102.1,99.0,99.9,0.02
TpPa-COF,MOF/COF,1.62,488.6,5.6,0.419,PAN,19.7,0.696,DOL/DME + 1M LiTFSI,25,0.1,50,1.717,1226.3,99.0,95.1,0.02
氮掺杂碳,碳基,1.624,542.6,15.1,0.778,Celgard 3501(PP/PE/PP),33.4,0.468,DOL/DME + 2M LiTFSI,30,3.0,100,0.986,1075.6,99.0,95.12,0.02
PDA(聚多巴胺),聚合物,0.139,29.8,36.8,0.08,Celgard 2500(PE),28.1,0.56,砜类(DIPAS) + 1M LiTFSI,25,0.5,500,0.573,784.9,87.8,91.9,0.356
碳黑(Super P),碳基,2.771,63.8,44.2,0.254,PI(聚酰亚胺),7.6,0.467,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,0.2,50,1.451,684.7,99.0,95.96,0.02
SnS₂,金属硫化物,0.183,38.8,40.8,0.145,Whatman GF/D,673.3,0.831,DOL/DME + 2M LiTFSI,35,2.0,300,1.382,860.2,96.7,92.43,0.3512
TiS₂,金属硫化物,1.381,42.0,32.7,0.098,PVDF-HFP,28.4,0.64,砜类(DIPAS) + 1M LiTFSI,25,1.0,50,0.541,984.6,99.0,93.37,0.1041
TiS₂,金属硫化物,0.755,35.5,29.2,0.083,Whatman GF/D,676.5,0.886,DOL/DME + 2M LiTFSI,25,0.1,500,1.229,1134.2,95.7,93.14,0.2833
CoS₂,金属硫化物,2.854,49.9,24.9,0.111,PET,18.8,0.514,DOL/DME + 2M LiTFSI,60,1.0,100,1.442,550.3,99.0,95.44,0.02
La₂O₃,金属氧化物,0.552,21.0,75.4,0.089,尼龙膜,25.1,0.643,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,60,0.2,1000,2.128,1170.5,82.7,97.16,0.1246
碳黑(Super P),碳基,0.758,57.7,41.1,0.243,纤维素膜,37.5,0.679,DOL/DME + 1M LiTFSI,60,0.1,500,2.011,1313.5,86.1,92.1,0.2875
CNT,碳基,0.858,245.1,30.1,0.783,GF/A(玻璃纤维),266.9,0.799,DOL/DME + 1M LiTFSI,55,0.5,1000,2.393,1460.2,84.4,93.33,0.2741
CNT,碳基,2.504,320.6,25.2,0.742,Celgard 2400(PP),31.1,0.436,砜类(DIPAS) + 1M LiTFSI,30,0.2,50,0.524,941.7,99.0,93.0,0.02
rGO,碳基,2.386,365.0,6.2,0.742,Celgard 3501(PP/PE/PP),34.7,0.472,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,500,0.525,935.0,99.0,98.29,0.02
氮掺杂碳,碳基,1.382,640.0,15.7,0.68,PVDF,28.3,0.561,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,500,0.833,1140.9,99.0,99.47,0.02
TiS₂,金属硫化物,2.111,34.7,44.1,0.12,Celgard 2500(PE),29.3,0.481,TEGDME + 1M LiTFSI + 0.1M LiNO₃,55,5.0,500,0.888,887.8,99.0,99.73,0.02
MIL-101(Cr),MOF/COF,1.103,3398.9,3.4,1.005,尼龙膜,21.4,0.647,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,5.0,200,2.081,1482.2,99.0,99.66,0.02
ZIF-8,MOF/COF,2.441,1504.4,5.1,0.653,PI(聚酰亚胺),24.9,0.572,TEGDME + 1M LiTFSI,60,2.0,200,1.814,1027.9,99.0,97.29,0.02
UiO-66,MOF/COF,1.717,1221.8,3.2,0.547,Celgard 2500(PE),16.3,0.551,DOL/DME + 1M LiTFSI,35,3.0,100,2.468,1088.7,99.0,94.76,0.02
TiO₂,金属氧化物,1.135,46.8,25.6,0.166,GF/A(玻璃纤维),265.9,0.866,DOL/DME + 1M LiTFSI,25,5.0,300,1.589,904.3,99.0,93.85,0.186
PDA(聚多巴胺),聚合物,0.576,24.0,68.3,0.089,Celgard 3501(PP/PE/PP),33.8,0.394,DOL/DME + 2M LiTFSI,35,0.5,200,0.966,931.9,99.0,94.22,0.1885
VN,氮化物,1.18,58.6,17.8,0.17,纤维素膜,38.8,0.604,DOL/DME + 0.5M LiTFSI,60,1.0,500,2.394,1151.4,99.0,93.65,0.121
TiS₂,金属硫化物,2.499,29.1,29.8,0.121,GF/A(玻璃纤维),250.8,0.869,DOL/DME + 2M LiTFSI,60,1.0,500,1.628,748.6,99.0,96.55,0.0417
g-C₃N₄,氮化物,0.576,79.7,18.5,0.287,PVDF,31.0,0.538,DOL/DME + 1M LiTFSI,35,0.5,200,1.644,1057.9,99.0,91.94,0.274
ZIF-8,MOF/COF,0.431,1211.7,5.6,0.687,PAN,20.2,0.687,DOL/DME + 1M LiTFSI,45,0.5,800,2.14,1343.3,89.4,92.48,0.1665
VN,氮化物,0.83,65.6,39.0,0.182,Celgard 3501(PP/PE/PP),38.9,0.361,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,0.5,200,1.837,1142.1,99.0,97.72,0.0555
介孔碳(CMK-3),碳基,0.907,870.8,9.5,1.166,纤维素膜,38.8,0.649,砜类(DIPAS) + 1M LiTFSI,30,2.0,1000,0.661,1347.4,85.3,93.24,0.0946
MnO₂,金属氧化物,1.172,89.4,35.0,0.298,Whatman GF/D,664.4,0.918,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,55,0.2,200,0.719,1250.6,99.0,94.36,0.1507
氧化石墨烯(GO),碳基,0.982,442.3,6.1,0.624,Celgard 2400(PP),24.1,0.484,DOL/DME + 2M LiTFSI,25,1.0,1000,0.876,1355.8,89.1,94.93,0.0792
介孔碳(CMK-3),碳基,1.772,1121.0,10.3,1.357,Whatman GF/D,671.9,0.817,TEGDME + 1M LiTFSI,25,0.1,50,1.144,1433.9,99.0,93.64,0.0248
碳黑(Super P),碳基,1.497,58.0,28.9,0.265,PVDF,29.9,0.577,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,1.0,1000,0.344,1059.4,84.2,93.47,0.2365
CeO₂,金属氧化物,0.15,55.6,19.3,0.161,纤维素膜,28.5,0.578,砜类(DIPAS) + 1M LiTFSI,35,1.0,500,0.61,905.8,84.7,93.4,0.3814
HKUST-1,MOF/COF,1.539,1788.8,8.0,0.757,尼龙膜,34.6,0.544,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,3.0,1000,1.591,1235.1,99.0,99.9,0.02
rGO,碳基,1.045,369.2,7.0,0.822,Celgard 2400(PP),16.4,0.392,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,1.0,500,0.734,1253.3,99.0,99.05,0.02
WS₂,金属硫化物,0.24,42.3,35.3,0.126,PI(聚酰亚胺),23.5,0.438,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.5,100,0.334,945.8,98.0,92.31,0.337
Al₂O₃,金属氧化物,2.558,104.4,24.1,0.264,PI(聚酰亚胺),17.1,0.592,DOL/DME + 1M LiTFSI,35,0.2,100,1.416,711.9,99.0,94.39,0.0494
g-C₃N₄,氮化物,2.412,86.9,20.7,0.304,尼龙膜,28.0,0.649,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,1.0,300,0.989,720.6,99.0,99.9,0.02
Co₃O₄,金属氧化物,2.112,68.2,31.8,0.215,Whatman GF/D,671.4,0.9,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,2.0,500,0.411,820.7,99.0,96.86,0.0393
CeO₂,金属氧化物,1.302,56.8,17.2,0.278,Celgard 3501(PP/PE/PP),37.0,0.349,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.5,800,0.318,1029.7,96.4,93.23,0.0664
CNT,碳基,0.373,229.3,42.9,0.67,PET,21.2,0.503,DOL/DME + 1M LiTFSI,25,5.0,50,1.325,1048.7,99.0,93.37,0.2542
MIL-101(Cr),MOF/COF,2.602,2923.8,4.0,1.531,PAN,16.0,0.644,DOL/DME + 1M LiTFSI,25,0.5,300,2.634,1045.9,99.0,96.69,0.02
ZIF-67,MOF/COF,2.348,1525.3,3.6,0.769,尼龙膜,15.2,0.568,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,30,5.0,100,1.977,881.0,99.0,99.9,0.02
WS₂,金属硫化物,1.885,50.3,26.8,0.112,GF/A(玻璃纤维),248.5,0.864,TEGDME + 1M LiTFSI,60,0.5,800,1.331,1030.7,99.0,94.71,0.02
ZIF-67,MOF/COF,0.845,1634.9,2.9,0.674,PVDF,31.7,0.665,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,1.0,100,1.081,1453.5,99.0,97.75,0.02
VS₂,金属硫化物,1.636,39.8,35.4,0.198,PI(聚酰亚胺),15.7,0.553,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,30,2.0,200,1.325,934.9,99.0,99.9,0.02
MWCNT,碳基,1.741,213.8,50.5,0.719,纤维素膜,34.3,0.648,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,30,0.2,800,1.276,1315.2,94.2,99.49,0.0265
SiO₂,其他,0.384,187.2,17.1,0.616,GF/A(玻璃纤维),268.2,0.692,砜类(DIPAS) + 1M LiTFSI,30,3.0,200,0.595,840.7,96.6,93.89,0.3166
V₂O₅,金属氧化物,2.325,34.1,47.2,0.168,Whatman GF/D,665.4,0.867,砜类(DIPAS) + 1M LiTFSI,60,0.5,1000,0.989,809.4,98.5,95.94,0.02
MnO₂,金属氧化物,1.536,87.3,30.4,0.254,Celgard 3501(PP/PE/PP),31.8,0.447,砜类(DIPAS) + 1M LiTFSI,25,1.0,500,0.547,971.3,99.0,95.75,0.0346
MIL-101(Cr),MOF/COF,1.949,3149.6,3.9,1.603,PI(聚酰亚胺),16.2,0.583,砜类(DIPAS) + 1M LiTFSI,40,0.5,100,1.46,1589.1,99.0,97.28,0.02
SnS₂,金属硫化物,1.719,40.8,36.6,0.133,Celgard 2400(PP),23.0,0.416,DOL/DME + 0.5M LiTFSI,45,1.0,100,2.01,1036.1,99.0,94.0,0.0201
TpPa-COF,MOF/COF,1.15,560.3,4.6,0.388,PVDF,33.7,0.632,砜类(DIPAS) + 1M LiTFSI,40,1.0,100,0.819,1138.4,99.0,94.95,0.0857
多孔碳球,碳基,1.835,788.8,29.2,1.081,PVDF-HFP,23.6,0.639,DOL/DME + 1M LiTFSI,45,1.0,1000,2.323,1400.8,93.8,95.25,0.02
Mo₂N,氮化物,2.001,42.0,23.2,0.131,PET,13.6,0.357,DOL/DME + 0.5M LiTFSI,60,0.2,1000,2.355,1005.1,98.8,95.96,0.02
ZIF-8,MOF/COF,0.74,1683.2,6.9,0.929,PVDF-HFP,23.5,0.791,砜类(DIPAS) + 1M LiTFSI,25,1.0,100,0.784,1347.2,99.0,92.57,0.0703
V₂O₅,金属氧化物,2.854,31.5,44.1,0.114,PVDF-HFP,32.4,0.555,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,2.0,100,0.799,488.9,99.0,99.9,0.02
TpPa-COF,MOF/COF,2.843,477.6,5.4,0.311,PET,12.4,0.519,砜类(DIPAS) + 1M LiTFSI,25,2.0,300,0.482,580.3,99.0,96.55,0.02
SnS₂,金属硫化物,1.534,36.2,36.2,0.115,PET,15.2,0.515,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,2.0,50,1.551,985.6,99.0,99.1,0.02
ZIF-67,MOF/COF,2.77,1559.6,3.6,0.861,PET,19.7,0.433,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,100,0.896,760.9,99.0,99.9,0.02
V₂O₅,金属氧化物,2.749,50.4,37.0,0.156,PAN,17.3,0.679,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,40,0.5,200,1.624,609.5,99.0,99.43,0.02
SiO₂,其他,0.648,184.1,14.7,0.555,PI(聚酰亚胺),21.6,0.649,DOL/DME + 2M LiTFSI,40,0.5,50,1.319,1126.1,99.0,92.31,0.2508
rGO,碳基,2.937,337.5,6.6,0.675,Whatman GF/D,664.6,0.862,砜类(DIPAS) + 1M LiTFSI,45,0.2,500,0.724,669.1,99.0,95.36,0.02
多孔碳球,碳基,1.69,667.7,22.8,1.295,Celgard 2400(PP),29.0,0.464,DOL/DME + 1M LiTFSI,50,0.2,500,2.494,1600.0,99.0,93.68,0.0633
MWCNT,碳基,0.402,225.6,62.4,0.603,PVDF,30.3,0.64,砜类(DIPAS) + 1M LiTFSI,30,0.2,500,0.61,1228.5,91.7,92.16,0.3161
氮掺杂碳,碳基,2.397,415.1,13.7,0.942,PVDF,29.0,0.61,DOL/DME + 0.5M LiTFSI,45,0.2,100,2.657,1079.8,99.0,95.46,0.02
TiO₂,金属氧化物,1.412,31.8,20.8,0.184,PET,23.6,0.484,TEGDME + 1M LiTFSI + 0.1M LiNO₃,40,1.0,100,0.904,990.0,99.0,98.08,0.02
NiS₂,金属硫化物,2.555,39.7,35.5,0.147,PVDF,25.2,0.587,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,30,0.5,200,1.139,668.2,99.0,99.9,0.02
介孔碳(CMK-3),碳基,0.998,918.2,10.8,1.241,PVDF,32.3,0.604,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,45,0.1,300,1.945,1600.0,99.0,97.66,0.0565
介孔碳(CMK-3),碳基,0.885,986.7,11.2,1.417,Celgard 2500(PE),29.7,0.651,DOL/DME + 2M LiTFSI,25,0.1,200,1.14,1426.4,99.0,93.14,0.1727
MIL-101(Cr),MOF/COF,1.074,3132.1,4.0,1.111,Whatman GF/D,665.9,0.744,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.5,800,2.434,1600.0,99.0,98.77,0.02
Co₃O₄,金属氧化物,0.298,80.4,34.5,0.234,GF/A(玻璃纤维),260.8,0.68,DOL/DME + 2M LiTFSI,60,5.0,1000,1.525,960.7,79.2,91.34,0.3243
La₂O₃,金属氧化物,1.831,26.3,69.5,0.1,Celgard 2400(PP),25.5,0.45,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,2.0,500,0.364,801.4,99.0,94.62,0.0309
Fe₂O₃,金属氧化物,1.478,42.5,38.9,0.145,PAN,22.9,0.723,TEGDME + 1M LiTFSI + 0.1M LiNO₃,60,0.2,800,1.203,1185.0,94.1,99.31,0.02
石墨烯,碳基,1.297,391.3,9.2,1.028,Celgard 2400(PP),23.1,0.381,DOL/DME + 2M LiTFSI,30,0.5,100,1.074,1374.5,99.0,94.46,0.0577
介孔碳(CMK-3),碳基,2.995,896.3,14.3,1.655,纤维素膜,31.9,0.678,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,30,0.1,100,1.661,826.2,99.0,99.6,0.02
Fe₂O₃,金属氧化物,0.89,43.9,52.6,0.173,Celgard 2400(PP),17.5,0.47,DOL/DME + 2M LiTFSI,40,0.5,500,1.158,1047.9,99.0,94.86,0.2352
MnO₂,金属氧化物,1.535,86.2,30.0,0.2,Celgard 2400(PP),24.9,0.478,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.1,100,0.616,1029.8,99.0,99.09,0.02
PDA(聚多巴胺),聚合物,2.665,32.6,67.2,0.072,Whatman GF/D,670.3,0.852,DOL/DME + 2M LiTFSI,50,1.0,500,1.571,479.9,99.0,95.97,0.02
