填料类型,填料类别,填料含量(wt%),比表面积(m²/g),粒径(nm),基底/聚合物,膜厚度(μm),温度(°C),压力(MPa),倍率(C),循环次数,离子电导率(mS/cm),界面阻抗(Ω·cm²),初始比容量(mAh/g),容量保持率(%),库伦效率(%),电化学窗口(V)
Li₇P₃S₁₁,硫化物,32.5,8.3,788.4,PAN(聚丙烯腈),20.7,55,209.4,0.1,100,0.96835,63.4,847.3,92.6,96.21,2.32
LiPON,磷酸盐,20.7,41.6,114.2,PEG(聚乙二醇),27.9,80,126.7,0.05,50,0.09737,54.2,1038.5,96.2,96.47,5.21
LLZO-Ta,氧化物,74.8,15.3,424.6,PEO(聚环氧乙烷),44.2,30,370.7,0.2,500,0.50906,81.4,795.7,91.2,98.73,4.81
Li₃InCl₆,卤化物,50.9,12.9,495.6,PAN(聚丙烯腈),38.0,25,325.7,0.05,500,0.49512,69.0,709.4,91.0,96.7,4.14
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,41.7,9.9,494.4,PAN(聚丙烯腈),29.4,25,216.8,0.5,100,0.28486,91.8,538.7,97.2,97.7,5.13
Li₇P₃S₁₁,硫化物,40.2,6.8,878.9,PMMA(聚甲基丙烯酸甲酯),53.2,50,411.3,0.5,200,0.96593,49.3,688.7,97.8,96.78,2.78
LLZO-Ta,氧化物,48.2,13.1,453.3,PPC(聚碳酸亚丙酯),63.4,50,439.3,0.2,100,0.56916,47.8,811.7,98.0,98.09,4.92
Li₂ZrCl₆,卤化物,42.4,16.3,320.0,PCL(聚己内酯),43.8,30,97.5,0.05,300,0.30252,88.0,645.7,88.9,97.01,4.06
Li₃InCl₆,卤化物,17.0,14.1,534.5,PVDF-HFP,44.3,30,161.3,0.05,500,0.02196,73.0,620.1,84.7,97.66,3.88
Li₃YCl₆,卤化物,34.2,13.6,488.2,PAN(聚丙烯腈),31.0,45,444.2,1.0,50,0.32847,48.0,668.6,98.0,96.88,3.72
LiPON,磷酸盐,68.6,42.9,88.0,PPC(聚碳酸亚丙酯),45.0,45,170.0,0.2,50,0.00804,75.0,672.9,97.4,97.5,5.47
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,44.7,27.6,316.4,PVDF,31.8,40,225.0,0.5,50,0.14167,85.0,638.5,98.0,97.62,5.03
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,16.1,22.6,272.2,PVA(聚乙烯醇),42.8,60,169.6,0.05,50,0.00956,48.9,839.5,98.0,96.37,4.74
LiBH₄,硼氢化物,20.8,25.7,242.9,PMMA(聚甲基丙烯酸甲酯),49.5,55,411.7,0.5,100,0.06019,26.3,762.3,98.0,96.53,3.06
Li₃PO₄,磷酸盐,70.4,30.3,131.9,PVDF,42.3,40,182.6,1.0,50,0.00609,71.5,539.7,98.0,99.7,5.41
Li₂S-P₂S₅(75:25),硫化物,73.6,10.5,649.8,PMMA(聚甲基丙烯酸甲酯),40.8,60,159.9,0.2,800,2.44509,72.2,908.5,85.0,95.9,2.63
LiBH₄,硼氢化物,30.7,24.2,206.8,PVDF-HFP,42.2,60,412.1,0.2,200,0.48793,29.1,806.7,93.6,96.91,2.73
Li₆PS₅Cl,硫化物,40.6,10.0,679.4,PAN(聚丙烯腈),23.8,30,186.0,0.2,200,0.50539,66.7,606.3,98.0,96.78,2.28
Li₆PS₅Br,硫化物,34.3,7.7,860.1,PCL(聚己内酯),54.4,60,310.0,0.5,200,0.85795,48.6,730.8,94.3,97.11,2.38
LLZO-Nb,氧化物,10.0,15.3,415.2,PMMA(聚甲基丙烯酸甲酯),48.6,60,159.3,0.2,100,0.00703,55.9,662.2,98.0,96.63,5.01
Li₁₀GeP₂S₁₂(LGPS),硫化物,10.0,5.6,1013.2,尼龙6,31.7,25,367.7,0.1,100,0.03642,54.5,586.6,98.0,97.28,2.66
Li₂S-P₂S₅(75:25),硫化物,18.0,8.5,551.6,PAN(聚丙烯腈),21.8,25,402.4,0.1,500,0.02809,45.8,539.5,88.4,97.02,2.53
LiPON,磷酸盐,59.3,41.6,123.8,尼龙6,36.4,40,194.9,0.2,100,0.00225,80.0,571.9,98.0,97.25,5.41
Li₃ScCl₆,卤化物,73.7,11.0,577.5,PVDF-HFP,37.4,60,307.0,0.5,500,5.56514,60.0,902.0,93.4,97.25,4.08
Li₃PS₄,硫化物,17.1,11.4,671.5,PCL(聚己内酯),77.3,40,480.5,1.0,200,0.0217,36.2,563.5,98.0,97.39,2.22
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,32.0,11.3,659.5,PPC(聚碳酸亚丙酯),53.3,25,212.5,0.1,100,0.1696,73.7,679.0,98.0,96.12,5.01
Li₂ZrCl₆,卤化物,67.4,13.2,393.9,PAN(聚丙烯腈),40.9,80,232.7,0.05,100,2.3469,45.8,1180.4,98.0,97.2,3.86
LLZO-Nb,氧化物,18.0,10.5,524.9,PVDF,35.4,55,77.0,0.2,500,0.02026,71.6,673.9,97.7,97.7,5.23
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,36.9,18.4,350.4,PMMA(聚甲基丙烯酸甲酯),53.7,60,322.1,0.05,200,0.2124,49.3,961.1,98.0,97.42,4.72
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,66.2,11.8,612.7,尼龙6,30.8,25,374.5,0.2,100,0.54543,101.0,676.6,97.2,97.05,5.03
LiBH₄,硼氢化物,17.3,33.3,179.1,纤维素基,50.9,25,446.6,0.05,500,0.01397,36.6,556.5,85.1,97.76,3.09
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,43.7,22.4,330.5,纤维素基,52.4,55,413.8,0.1,100,0.29591,63.9,847.3,98.0,97.84,4.8
LLZO-Nb,氧化物,75.6,16.9,511.0,PI(聚酰亚胺),27.2,40,253.0,0.2,300,0.55661,91.2,727.6,96.0,98.14,5.15
LLZO(Li₇La₃Zr₂O₁₂),氧化物,35.8,21.1,481.4,PEO(聚环氧乙烷),52.0,55,53.1,0.2,50,0.20019,92.8,793.8,96.7,96.66,4.91
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,24.1,22.8,294.0,PVDF,40.7,50,498.1,0.2,200,0.01701,38.6,712.0,98.0,97.21,5.2
LiPON,磷酸盐,27.4,34.1,108.8,PEO(聚环氧乙烷),36.1,45,97.2,0.2,100,0.02532,59.7,724.6,90.7,97.83,5.48
LLZO(Li₇La₃Zr₂O₁₂),氧化物,55.0,12.2,454.1,PI(聚酰亚胺),30.4,60,352.9,0.2,100,0.42027,65.2,767.3,98.0,97.84,5.09
Li₂ZrCl₆,卤化物,39.4,17.0,438.9,PI(聚酰亚胺),26.9,25,259.3,0.1,200,0.16143,61.3,635.2,98.0,97.3,3.85
LLZO-Nb,氧化物,18.4,17.1,502.2,纤维素基,41.7,50,267.6,0.05,800,0.01825,62.1,678.5,89.3,98.44,5.16
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,17.2,22.4,200.2,PVDF-HFP,32.8,70,494.3,1.0,500,0.01001,22.8,735.2,90.2,96.51,5.34
Li₆PS₅Cl,硫化物,19.0,7.2,696.4,PAN(聚丙烯腈),32.1,25,422.9,0.2,200,0.04885,47.4,635.0,96.3,97.64,2.45
Li₃InCl₆,卤化物,68.6,10.3,386.2,PI(聚酰亚胺),34.3,45,392.1,0.5,100,1.55294,48.8,838.1,98.0,97.98,4.02
LLZO-Ta,氧化物,76.0,10.1,461.2,纤维素基,45.3,60,297.9,0.1,200,1.4477,91.8,803.5,98.0,97.06,4.79
Li₆PS₅Br,硫化物,37.5,9.2,778.9,PPC(聚碳酸亚丙酯),33.2,50,216.1,0.5,200,0.69037,59.8,695.0,98.0,96.45,2.56
LLZO-Nb,氧化物,57.2,19.6,517.2,PCL(聚己内酯),37.9,45,171.9,0.5,200,0.50138,111.8,744.0,98.0,97.57,4.9
Li₃PS₄,硫化物,43.4,7.9,687.3,PEG(聚乙二醇),39.1,40,470.6,0.1,100,0.2989,51.8,826.9,98.0,96.95,2.71
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,65.0,10.6,314.4,PMMA(聚甲基丙烯酸甲酯),52.3,60,162.8,0.5,800,0.51509,73.2,734.7,90.6,97.48,5.16
LLZO/PVDF纳米纤维,复合,37.7,103.2,110.1,PCL(聚己内酯),53.9,55,320.3,0.2,800,0.13954,41.1,771.6,90.0,96.4,4.55
Li₂ZrCl₆,卤化物,18.9,20.3,448.2,PEO(聚环氧乙烷),48.8,80,122.1,0.1,200,0.11327,62.9,1025.2,95.5,94.92,4.0
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,73.9,16.8,279.3,PEG(聚乙二醇),19.1,25,290.9,0.05,200,0.30052,89.3,728.6,98.0,98.43,5.07
LiBH₄,硼氢化物,51.6,22.7,159.2,PVDF,37.9,45,454.4,0.5,200,0.88831,38.7,744.7,97.8,98.54,2.89
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,49.8,18.5,405.4,PPC(聚碳酸亚丙酯),42.1,55,419.4,1.0,200,0.38612,45.5,790.9,98.0,97.6,4.82
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,47.4,16.2,435.0,PI(聚酰亚胺),28.3,25,486.3,0.1,200,0.12407,58.8,641.7,95.0,97.58,5.33
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,59.2,14.7,299.2,尼龙6,37.1,60,138.4,0.1,200,0.42758,78.1,825.2,95.7,95.94,4.79
LATP/CNT复合,复合,60.0,160.3,54.5,PMMA(聚甲基丙烯酸甲酯),47.9,25,342.4,0.1,800,0.21542,52.4,679.3,88.3,96.92,4.47
Li₃YCl₆,卤化物,42.3,11.6,505.8,PCL(聚己内酯),76.2,70,218.5,0.5,200,0.97249,56.6,884.1,95.9,96.02,4.13
Li₂S-P₂S₅(75:25),硫化物,41.3,11.0,666.3,PI(聚酰亚胺),25.9,55,438.2,0.1,500,1.12115,42.4,961.2,96.5,97.13,2.44
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,71.3,16.2,251.7,尼龙6,42.5,30,350.7,0.2,500,0.21932,71.5,601.3,91.6,98.35,4.97
Li₂ZrCl₆,卤化物,33.6,11.2,430.6,PVDF-HFP,33.3,60,418.6,0.1,200,0.44763,40.5,928.4,95.6,98.02,3.82
LLZO-Ta,氧化物,74.7,12.5,427.0,PPC(聚碳酸亚丙酯),29.9,50,76.6,0.2,800,0.81647,106.3,795.4,84.7,97.91,4.96
LLZO-Nb,氧化物,48.0,12.9,517.9,纤维素基,44.6,40,162.5,1.0,200,0.28688,115.2,608.5,98.0,97.85,4.82
Li₃PS₄,硫化物,13.3,10.7,402.0,PVDF-HFP,29.7,70,417.3,0.5,200,0.01525,25.8,832.6,91.4,96.09,2.47
Li₆PS₅Br,硫化物,28.6,11.5,782.9,纤维素基,54.9,55,64.6,0.1,50,0.15811,86.4,877.4,94.5,96.68,2.57
LLZO-Ta,氧化物,12.6,13.7,502.6,PI(聚酰亚胺),25.0,25,251.3,0.2,300,0.00362,63.7,505.2,98.0,97.59,5.1
Li₂S-P₂S₅(75:25),硫化物,52.1,10.8,717.2,PAN(聚丙烯腈),45.4,55,342.8,1.0,800,1.7663,55.3,689.4,88.3,96.56,2.3
LATP/CNT复合,复合,53.7,66.1,58.5,纤维素基,37.0,70,361.7,0.5,50,0.60066,44.0,804.5,98.0,95.94,4.48
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,36.0,19.7,309.7,PEO(聚环氧乙烷),50.8,80,431.6,0.2,50,0.53629,39.3,958.1,98.0,96.42,4.86
Li₃InCl₆,卤化物,56.0,10.5,544.3,尼龙6,23.0,25,384.5,0.5,100,0.4508,74.9,648.4,98.0,97.79,3.94
Na₃PS₄(参考),硫化物,18.5,13.2,517.8,PAN(聚丙烯腈),49.9,25,277.6,0.2,500,0.0095,52.1,502.2,90.7,97.29,2.42
LiPON,磷酸盐,40.9,42.7,111.6,PMMA(聚甲基丙烯酸甲酯),40.5,60,494.6,0.1,800,0.00242,30.9,632.9,89.8,98.0,4.95
Li₇P₃S₁₁,硫化物,78.0,7.9,929.9,PAN(聚丙烯腈),23.3,80,439.9,0.5,200,5.15384,49.7,962.5,93.7,96.06,2.48
LLZO@GO复合,复合,79.4,152.2,59.5,PVA(聚乙烯醇),26.5,30,318.3,0.05,200,0.40437,80.9,809.7,98.0,98.24,4.62
Li₃InCl₆,卤化物,13.1,9.1,362.0,PI(聚酰亚胺),18.6,45,365.0,0.2,200,0.01637,33.7,629.0,97.9,97.38,3.86
Na₃PS₄(参考),硫化物,78.0,9.0,584.9,PVA(聚乙烯醇),21.5,80,424.7,0.2,200,1.34303,50.6,983.4,90.5,95.15,2.39
Li₃PO₄,磷酸盐,79.8,37.0,174.8,PCL(聚己内酯),46.4,25,158.5,1.0,200,0.00802,101.1,389.9,97.0,98.73,5.22
Li₆PS₅Br,硫化物,57.9,11.1,741.2,纤维素基,54.5,60,132.7,1.0,200,2.12828,83.9,790.0,92.7,96.91,2.34
Li₃ScCl₆,卤化物,21.0,11.9,538.6,纤维素基,45.4,55,369.7,0.05,50,0.16727,43.6,878.2,98.0,96.38,3.9
Na₃PS₄(参考),硫化物,28.7,6.9,543.0,PVA(聚乙烯醇),21.6,40,240.8,0.1,300,0.03421,62.0,619.3,95.9,98.14,2.56
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,16.3,7.1,672.2,PVDF-HFP,40.8,50,271.3,0.2,100,0.02658,57.2,718.6,95.0,96.67,4.82
Li₆PS₅Cl,硫化物,62.0,5.6,780.2,PMMA(聚甲基丙烯酸甲酯),52.5,80,83.2,1.0,300,5.45025,67.6,862.3,85.4,95.23,2.2
Li₃PO₄,磷酸盐,19.6,34.8,162.0,PVDF-HFP,40.7,30,174.0,0.2,300,0.00069,67.6,456.8,98.0,98.15,5.24
Li₃PS₄,硫化物,25.5,13.2,639.5,PCL(聚己内酯),65.5,60,165.5,0.5,200,0.07558,54.8,688.3,96.0,97.6,2.42
LiPON,磷酸盐,43.5,32.2,80.1,PVA(聚乙烯醇),21.9,60,352.9,0.1,100,0.00295,47.5,847.6,98.0,98.04,5.01
Li₆PS₅Br,硫化物,50.3,7.6,809.6,PAN(聚丙烯腈),33.7,25,54.0,0.5,100,0.89003,122.8,576.4,94.0,96.53,2.55
Li₁₀GeP₂S₁₂(LGPS),硫化物,70.9,4.3,909.6,PCL(聚己内酯),57.5,50,435.8,1.0,200,14.07506,61.3,767.6,95.1,96.89,2.7
Li₆PS₅Br,硫化物,42.7,9.4,895.1,纤维素基,37.7,60,395.8,0.5,100,1.15655,54.5,821.1,98.0,97.02,2.71
LLZO-Ta,氧化物,40.0,8.7,339.5,PAN(聚丙烯腈),26.7,45,369.1,0.5,100,0.27154,45.1,679.1,98.0,99.07,4.53
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,38.5,15.5,375.0,PVDF,39.6,60,111.0,0.05,200,0.42196,74.1,909.3,96.2,95.77,4.79
Li₇P₃S₁₁,硫化物,62.1,9.2,862.3,纤维素基,37.8,30,417.0,0.1,100,1.1035,72.6,708.8,98.0,96.78,2.31
LLZO@GO复合,复合,21.6,170.9,42.8,PI(聚酰亚胺),34.1,60,102.4,1.0,800,0.02845,46.7,754.7,83.8,96.1,4.46
Li₆PS₅Br,硫化物,66.7,7.2,659.8,PAN(聚丙烯腈),33.5,30,378.6,0.2,500,1.17258,68.7,664.2,90.6,97.46,2.34
Li₂S-P₂S₅(75:25),硫化物,67.0,8.6,801.8,PVA(聚乙烯醇),32.0,50,209.6,0.1,200,1.86323,94.1,931.1,96.3,96.97,2.28
LLZO-Nb,氧化物,18.4,11.8,452.5,PMMA(聚甲基丙烯酸甲酯),56.5,45,215.0,0.1,100,0.01281,61.0,682.7,97.7,98.0,4.62
Li₃PO₄,磷酸盐,37.7,34.2,145.3,PPC(聚碳酸亚丙酯),42.8,60,274.5,0.2,50,0.01239,39.9,812.8,98.0,96.94,4.99
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,67.5,7.5,472.6,PVDF,50.0,50,329.2,0.5,50,1.42256,72.8,721.9,98.0,97.33,4.88
